,director,country,date_added,imdbRating,imdbVotes,language,time,season,type_Movie,type_TV Show,genre,cast_shows,cast_movies
224,0,0,2019.0,8.8,5195.0,0,0,1 ,0.0,1.0,0.0,0.0,0.0
225,0,1,2018.0,7.5,871.0,1,106 ,0,0.0,1.0,0.0,0.0,0.0
227,0,1,2018.0,6.8,186.0,1,90 ,0,0.0,1.0,0.0,0.0,0.0
228,0,1,2018.0,6.4,2533.0,1,65 ,0,1.0,0.0,0.0,0.0,0.0
229,0,0,2018.0,7.2,472.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
230,0,0,2018.0,6.6,206.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
231,0,0,2018.0,7.6,876.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
232,0,0,2018.0,7.3,661.0,1,107 ,0,1.0,0.0,0.0,0.0,0.0
234,0,1,2018.0,5.5,348.0,1,88 ,0,0.0,1.0,0.0,0.0,0.0
235,0,0,2018.0,5.2,63.0,1,0,1 ,1.0,0.0,1.0,0.0,0.0
236,0,1,2018.0,6.9,26.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
237,0,1,2018.0,7.1,304.0,1,100 ,0,1.0,0.0,0.0,0.0,0.0
239,0,1,2018.0,7.6,667.0,1,25 ,0,1.0,0.0,0.0,0.0,0.0
240,0,1,2018.0,5.6,12359.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
241,0,1,2017.0,7.2,15521.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
243,0,0,2017.0,7.1,1402.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
244,0,1,2017.0,3.5,898.0,1,40 ,0,1.0,0.0,0.0,0.0,0.0
245,0,1,2017.0,7.1,540.0,1,71 ,0,1.0,0.0,0.0,0.0,0.0
246,0,1,2017.0,6.4,3518.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
247,0,0,2017.0,7.7,8016.0,0,123 ,0,0.0,1.0,0.0,0.0,0.0
248,0,0,2016.0,3.6,3622.0,1,89 ,0,1.0,0.0,0.0,0.0,0.0
249,0,1,2016.0,6.4,399.0,1,67 ,0,1.0,0.0,0.0,0.0,0.0
251,0,0,2015.0,8.3,21302.0,1,96 ,0,1.0,0.0,0.0,0.0,0.0
252,0,0,2019.0,7.4,7.0,1,93 ,0,1.0,0.0,0.0,0.0,0.0
253,0,0,2019.0,7.6,454.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
254,0,1,2019.0,5.6,5262.0,1,86 ,0,1.0,0.0,0.0,0.0,0.0
257,0,1,2018.0,8.1,43529.0,1,108 ,0,1.0,0.0,0.0,0.0,0.0
258,0,1,2018.0,6.4,282.0,0,81 ,0,0.0,1.0,0.0,0.0,0.0
259,0,1,2018.0,8.8,7148.0,1,102 ,0,0.0,1.0,0.0,0.0,0.0
260,0,1,2018.0,8.7,2874.0,0,93 ,0,0.0,1.0,0.0,0.0,0.0
261,0,1,2018.0,5.2,888.0,1,87 ,0,1.0,0.0,0.0,0.0,0.0
263,0,0,2018.0,6.6,11916.0,1,100 ,0,1.0,0.0,0.0,0.0,0.0
264,0,1,2018.0,6.2,6400.0,1,88 ,0,1.0,0.0,0.0,0.0,0.0
265,0,1,2018.0,8.6,1149.0,1,109 ,0,0.0,1.0,0.0,0.0,0.0
266,0,1,2019.0,4.2,1177.0,1,138 ,0,1.0,0.0,0.0,0.0,0.0
267,0,0,2019.0,3.5,323.0,1,82 ,0,1.0,0.0,0.0,0.0,0.0
268,0,1,2019.0,5.4,3223.0,1,86 ,0,1.0,0.0,0.0,0.0,0.0
269,0,0,2019.0,4.3,1777.0,1,112 ,0,1.0,0.0,0.0,0.0,0.0
